time,iteration,,,,,
0.586753129959,200,,,,,
0.15673995018,88,,,,,
0.150432109833,79,,,,,
0.0419781208038,12,,,,,
0.0547099113464,25,,,,,
0.0476009845734,19,,,,,
0.0265378952026,0,,,,,
0.0327129364014,3,,,,,
0.0242559909821,1,,,,,
0.0420341491699,12,,,,,
0.0248758792877,0,,,,,
0.0279018878937,0,,,,,
0.186542987823,99,,,,,
0.190311908722,117,,,,,
0.150232076645,71,,,,,
0.146842956543,65,,,,,
0.175799131393,100,,,,,
0.149281024933,87,,,,,
0.330412864685,200,,,,,
0.328901052475,200,,,,,
0.321866989136,192,,,,,
0.0846409797668,36,,,,,
0.166465997696,87,,,,,
0.192690134048,109,,,,,
0.28494310379,152,,,,,
0.339010000229,178,,,,,
0.309495925903,168,,,,,
0.294554948807,150,,,,,
0.294031858444,151,,,,,
0.16984295845,91,,,,,
0.338593959808,144,,,,,
0.242383956909,145,,,,,
0.208958148956,128,,,,,
0.248528003693,137,,,,,
0.24860906601,149,,,,,
0.266849040985,153,,,,,
0.1549949646,82,,,,,
0.0905089378357,35,,,,,
0.094367980957,38,,,,,
0.245986938477,131,,,,,
0.253494024277,143,,,,,
0.237917900085,147,,,,,
0.271327018738,156,,,,,
0.21929192543,131,,,,,
0.21652507782,131,,,,,
0.193476915359,102,,,,,
0.211591959,127,,,,,
0.196538925171,123,,,,,
0.258203029633,153,,,,,
0.228754997253,127,,,,,
0.15030002594,75,,,,,
0.147638082504,75,,,,,
0.183633089066,111,,,,,
0.18975186348,112,,,,,
0.218863010406,128,,,,,
0.184112071991,107,,,,,
0.228757858276,111,,,,,
0.229247093201,135,,,,,
0.199345111847,116,,,,,
0.267277002335,159,,,,,
0.19313287735,111,,,,,
0.166243076324,94,,,,,
0.185024023056,106,,,,,
0.32529091835,173,,,,,
0.503946065903,200,,,,,
0.386302947998,200,,,,,
0.332338094711,200,,,,,
0.349643945694,200,,,,,
0.35674405098,200,,,,,
0.330840110779,200,,,,,
0.353636980057,200,,,,,
